registry_id,category,calculator_class,parameter_mode,core_valid_placement,bundle_current_support,heldout_or_cv_effect,inference_row_effect,engine_optional_dependency,existing_relevant_test,concrete_missing_integration,h3_local_verification
SimpleImputer,Preprocessing,SimpleImputerCalculator,statistics or auto columns,post-split/fold-local learned,ordinary yes; pre-split rejected,fitted statistics reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_imputation_common_knn_iterative_simple.py,learned mode stays after split,"test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
SimpleTransformation,Preprocessing,SimpleTransformationCalculator,fixed explicit columns and replacement/operation,ordinary preprocessing; fixed and learned modes retain Core semantics,ordinary yes; pre-split rejected,same fixed operation on heldout,same rows; raw scoring needs once-only replay,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_nodes.py,Intentional phase boundary: not admitted before split; use existing ordinary recipe,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
Split,Data Operations,SplitCalculator,configured split/target extraction,workflow split boundary only,Bundle outer split; node recipe rejected/ignored,Bundle owns outer split/CV,skipped,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_both_split_orders_preserve_disjoint_row_identity,"Intentional workflow split boundary; nested Bundle recipe invalid, not a missing preprocessing adapter",See cited existing Core tests; no new full Bundle execution claimed for this mode
StandardScaler,Preprocessing,StandardScalerCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/unit/test_cleaning_operation_leakage.py::test_scaler_statistics_and_auto_columns_come_only_from_train,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed","test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
TargetEncoder,Preprocessing,TargetEncoderCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_target.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
TextCleaning,Cleaning,TextCleaningCalculator,fixed explicit columns and replacement/operation,validated fixed pre-split normalization or ordinary preprocessing,explicit fixed modes admitted; raw feature prefix saved; target-only normalization separated,same fixed operation on heldout,same rows; selected feature normalization applied once to raw inputs; no target required,pandas + Polars; base deps,skyulf-core/tests/integration/test_cleaning_text.py,Narrow pre-split parameter contract only; other Core presets remain ordinary-only; numeric mapping object keys rejected with replacement-pairs alternative,"Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode; test_databricks_pre_split_filters.py: 66 focused tests incl both engines, raw replay, normalized-target split, protected values, JSON collisions and target semantic guard; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
TrainTestSplitter,Data Operations,SplitCalculator,configured split/target extraction,workflow split boundary only,Bundle outer split; node recipe rejected/ignored,Bundle owns outer split/CV,skipped,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_both_split_orders_preserve_disjoint_row_identity,"Intentional workflow split boundary; nested Bundle recipe invalid, not a missing preprocessing adapter",See cited existing Core tests; no new full Bundle execution claimed for this mode
Undersampling,Preprocessing,UndersamplingCalculator,configured method; numeric X and y,post-split train/fold only,ordinary train/fold only; pre-split rejected,never resample heldout; refit each fold,skipped; preserves prediction rows,pandas + Polars; optional imbalanced-learn,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_linear_engineer_resamples_train_only_and_skips_inference,"Random method full local recipe/CV verified; other sampling methods retain cited Core tests, not new full Bundle execution",test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
UnivariateSelection,Feature Selection,UnivariateSelectionCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_feature_selection_common.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
ValueReplacement,Cleaning,ValueReplacementCalculator,fixed explicit columns and replacement/operation,validated fixed pre-split normalization or ordinary preprocessing,explicit fixed modes admitted; raw feature prefix saved; target-only normalization separated,same fixed operation on heldout,same rows; selected feature normalization applied once to raw inputs; no target required,pandas + Polars; base deps,skyulf-core/tests/integration/test_alias_nontext_contract.py,Narrow pre-split parameter contract only; other Core presets remain ordinary-only; numeric mapping object keys rejected with replacement-pairs alternative,"Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode; test_databricks_pre_split_filters.py: 66 focused tests incl both engines, raw replay, normalized-target split, protected values, JSON collisions and target semantic guard; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
VarianceThreshold,Feature Selection,VarianceThresholdCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_feature_selection_common.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
WOEEncoder,Preprocessing,WOEEncoderCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_woe.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
Winsorize,Preprocessing,WinsorizeCalculator,learned percentile caps; [] may no-op,post-split/fold-local,ordinary recipe; prior matrix reports local fit/save/load,caps heldout without row drop,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_outliers_elliptic_winsorize_zscore_iqr.py,Row-preserving mixed local recipe verified in five-model suite; all parameter/engine combinations not claimed,test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
ZScore,Preprocessing,ZScoreCalculator,fitted outlier detection; [] may no-op,post-split/fold-local train filtering,ordinary conditional; pre-split rejected,may filter heldout rows,prediction rejects row count change,pandas + Polars; base deps,skyulf-core/tests/integration/test_outliers_elliptic_winsorize_zscore_iqr.py,define heldout policy and mixed recipe proof,See cited existing Core tests; no new full Bundle execution claimed for this mode
count_vectorizer,Text,CountVectorizerCalculator,nonempty feature columns and vocabulary,post-split/fold-local,nonempty local Python recipe fit/artifact/holdout/CV verified on both engines,fitted vocabulary/idf reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_vectorization.py,Per-node fresh-process MLflow and H3 serverless execution not separately run; shared source-loader tests provide transport evidence,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
count_vectorizer,Text,CountVectorizerCalculator,empty/target-only columns,ordinary no-op,ordinary Core no-op; Bundle artifact unverified,no feature vocabulary,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_vectorization.py,document no-op and target exclusion,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
feature_selection,Feature Selection,FeatureSelectionCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_feature_selection_common.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
feature_target_split,Data Operations,FeatureTargetSplitCalculator,configured split/target extraction,workflow split boundary only,Bundle outer split; node recipe rejected/ignored,Bundle owns outer split/CV,skipped,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_public_unsplit_training_accepts_feature_target_split,"Intentional workflow split boundary; nested Bundle recipe invalid, not a missing preprocessing adapter",See cited existing Core tests; no new full Bundle execution claimed for this mode
hashing_vectorizer,Text,HashingVectorizerCalculator,explicit text columns; empty is no-op,post-split ordinary fixed/row-local,nonempty local Python recipe fit/artifact/holdout/CV verified on both engines,same operation heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_vectorization.py,Per-node fresh-process MLflow and H3 serverless execution not separately run; shared source-loader tests provide transport evidence,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
sentence_embedder,Text,SentenceEmbedderCalculator,nonempty feature columns and model weights,post-split/fold-local or fixed artifact stage,ordinary Core config; Bundle artifact unverified,saved model reference required,same rows,pandas + Polars; optional sentence-transformers and weights,skyulf-core/tests/integration/test_vectorization.py,offline packaging and fresh-process dependency/model-cache probe missing,OPEN optional dependency/model packaging lane; no new successful Bundle execution claimed
tfidf_vectorizer,Text,TfidfVectorizerCalculator,nonempty feature columns and vocabulary,post-split/fold-local,nonempty local Python recipe fit/artifact/holdout/CV verified on both engines,fitted vocabulary/idf reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_vectorization.py,Per-node fresh-process MLflow and H3 serverless execution not separately run; shared source-loader tests provide transport evidence,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
tfidf_vectorizer,Text,TfidfVectorizerCalculator,empty/target-only columns,ordinary no-op,ordinary Core no-op; Bundle artifact unverified,no feature vocabulary,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_vectorization.py,document no-op and target exclusion,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
tokenizer,Text,TokenizerCalculator,explicit text columns; empty is no-op,post-split ordinary fixed/row-local,nonempty local Python recipe fit/artifact/holdout/CV verified on both engines,same operation heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_vectorization.py,Per-node fresh-process MLflow and H3 serverless execution not separately run; shared source-loader tests provide transport evidence,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
